image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/11321089.jpg|Guardian Chimera|100.00%|1.54
https://images.ygoprodeck.com/images/cards/69946549.jpg|Predaplant Dragostapelia|75.00%|1.02
https://images.ygoprodeck.com/images/cards/43227.jpg|Magnum the Reliever|64.70%|1.02
https://images.ygoprodeck.com/images/cards/44146295.jpg|Mirrorjade the Iceblade Dragon|61.80%|1.64
https://images.ygoprodeck.com/images/cards/87746184.jpg|Albion the Branded Dragon|60.30%|1.83
https://images.ygoprodeck.com/images/cards/70534340.jpg|Lubellion the Searing Dragon|60.30%|1.39
https://images.ygoprodeck.com/images/cards/1769875.jpg|Chimera the King of Phantom Beasts|57.40%|1.51
https://images.ygoprodeck.com/images/cards/69601012.jpg|Berfomet the Mythical King of Phantom Beasts|48.50%|1.58
https://images.ygoprodeck.com/images/cards/51409648.jpg|Rindbrumm the Striking Dragon|45.60%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|44.10%|1.00
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|42.60%|1.07
https://images.ygoprodeck.com/images/cards/38264974.jpg|Chimera the Illusion Beast|38.20%|1.00
https://images.ygoprodeck.com/images/cards/72272462.jpg|Despian Quaeritis|33.80%|1.00
https://images.ygoprodeck.com/images/cards/24915933.jpg|Granguignol the Dusk Dragon|32.40%|1.27
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|32.40%|1.04
https://images.ygoprodeck.com/images/cards/6855503.jpg|Masquerade the Blazing Dragon|29.40%|1.45
https://images.ygoprodeck.com/images/cards/41373230.jpg|Titaniklad the Ash Dragon|23.50%|1.00
https://images.ygoprodeck.com/images/cards/37818794.jpg|Red-Eyes Dark Dragoon|22.10%|1.00
https://images.ygoprodeck.com/images/cards/71607202.jpg|Muckraker From the Underworld|19.10%|1.00
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|16.20%|1.00
https://images.ygoprodeck.com/images/cards/73082255.jpg|The Zombie Vampire|14.70%|1.00
https://images.ygoprodeck.com/images/cards/1906812.jpg|Sprind the Irondash Dragon|14.70%|1.00
https://images.ygoprodeck.com/images/cards/50277355.jpg|Cross-Sheep|13.20%|1.00
https://images.ygoprodeck.com/images/cards/34848821.jpg|Brigrand the Glory Dragon|13.20%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|11.80%|1.00
https://images.ygoprodeck.com/images/cards/38811586.jpg|Albion the Sanctifire Dragon|11.80%|1.00
https://images.ygoprodeck.com/images/cards/41209827.jpg|Starving Venom Fusion Dragon|10.30%|1.00
https://images.ygoprodeck.com/images/cards/93860227.jpg|Necroquip Princess|8.80%|1.00
https://images.ygoprodeck.com/images/cards/49867899.jpg|Fiendsmith's Sequence|8.80%|1.00
https://images.ygoprodeck.com/images/cards/2463794.jpg|Fiendsmith's Requiem|8.80%|1.00
https://images.ygoprodeck.com/images/cards/79559912.jpg|D/D/D Wave High King Caesar|8.80%|1.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|8.80%|1.00
https://images.ygoprodeck.com/images/cards/3410461.jpg|Alba-Lenatus the Abyss Dragon|8.80%|1.00
https://images.ygoprodeck.com/images/cards/28143384.jpg|Aerial Eater|8.80%|1.00
https://images.ygoprodeck.com/images/cards/56208713.jpg|Bacha the Melodious Maestra|7.40%|2.00
https://images.ygoprodeck.com/images/cards/53262004.jpg|Odd-Eyes Vortex Dragon|7.40%|1.00
https://images.ygoprodeck.com/images/cards/16691074.jpg|Odd-Eyes Absolute Dragon|7.40%|1.00
https://images.ygoprodeck.com/images/cards/92812851.jpg|Exceed the Pendulum|7.40%|1.00
https://images.ygoprodeck.com/images/cards/92892239.jpg|Borreload Furious Dragon|7.40%|1.00
https://images.ygoprodeck.com/images/cards/55990317.jpg|Hugin the Runick Wings|5.90%|2.00
https://images.ygoprodeck.com/images/cards/28373620.jpg|Geri the Runick Fangs|5.90%|1.50
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|5.90%|1.00
https://images.ygoprodeck.com/images/cards/74659582.jpg|Sleipnir the Runick Mane|5.90%|1.00
https://images.ygoprodeck.com/images/cards/8165596.jpg|Number 90: Galaxy-Eyes Photon Lord|5.90%|1.00
https://images.ygoprodeck.com/images/cards/18666161.jpg|Despian Proskenion|5.90%|1.00
https://images.ygoprodeck.com/images/cards/90590303.jpg|Number 41: Bagooska the Terribly Tired Tapir|4.40%|1.00
https://images.ygoprodeck.com/images/cards/92385016.jpg|Munin the Runick Wings|4.40%|1.00
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|4.40%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|4.40%|1.00
https://images.ygoprodeck.com/images/cards/93854893.jpg|Dingirsu, the Orcust of the Evening Star|4.40%|1.00
https://images.ygoprodeck.com/images/cards/78778375.jpg|Frightfur Cruel Whale|2.90%|1.50
https://images.ygoprodeck.com/images/cards/90809975.jpg|Toadally Awesome|2.90%|1.00
https://images.ygoprodeck.com/images/cards/80453041.jpg|Phantom of Yubel|2.90%|1.00
https://images.ygoprodeck.com/images/cards/464362.jpg|Frightfur Tiger|2.90%|1.00
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|2.90%|1.00
https://images.ygoprodeck.com/images/cards/35103106.jpg|Evolzar Lars|2.90%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|2.90%|1.00
https://images.ygoprodeck.com/images/cards/53971455.jpg|Despian Luluwalilith|2.90%|1.00
https://images.ygoprodeck.com/images/cards/27552504.jpg|Beatrice, Lady of the Eternal|2.90%|1.00
https://images.ygoprodeck.com/images/cards/440556.jpg|Bahamut Shark|2.90%|1.00
https://images.ygoprodeck.com/images/cards/94977270.jpg|El Shaddoll Winda|1.50%|2.00
https://images.ygoprodeck.com/images/cards/20366274.jpg|El Shaddoll Construct|1.50%|2.00
https://images.ygoprodeck.com/images/cards/67680512.jpg|Unchained Soul of Rage|1.50%|1.00
https://images.ygoprodeck.com/images/cards/24269961.jpg|Unchained Soul Lord of Yama|1.50%|1.00
https://images.ygoprodeck.com/images/cards/6983839.jpg|Tornado Dragon|1.50%|1.00
https://images.ygoprodeck.com/images/cards/72329844.jpg|Spright Sprind|1.50%|1.00
https://images.ygoprodeck.com/images/cards/98462037.jpg|Sky Striker Ace - Azalea|1.50%|1.00
https://images.ygoprodeck.com/images/cards/45819647.jpg|Selene, Queen of the Master Magicians|1.50%|1.00
https://images.ygoprodeck.com/images/cards/74586817.jpg|PSY-Framelord Omega|1.50%|1.00
https://images.ygoprodeck.com/images/cards/10666000.jpg|Number 1: Infection Buzzking|1.50%|1.00
https://images.ygoprodeck.com/images/cards/81019803.jpg|Merry Melffys|1.50%|1.00
https://images.ygoprodeck.com/images/cards/58481572.jpg|Masked HERO Dark Law|1.50%|1.00
https://images.ygoprodeck.com/images/cards/24842059.jpg|Linguriboh|1.50%|1.00
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|1.50%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|1.50%|1.00
https://images.ygoprodeck.com/images/cards/49161188.jpg|Gilti-Gearfried the Magical Steel Knight|1.50%|1.00
https://images.ygoprodeck.com/images/cards/64182380.jpg|Garunix Eternity, Hyang of the Fire Kings|1.50%|1.00
https://images.ygoprodeck.com/images/cards/39030163.jpg|Galaxy-Eyes Full Armor Photon Dragon|1.50%|1.00
https://images.ygoprodeck.com/images/cards/18963306.jpg|Galaxy-Eyes Cipher Dragon|1.50%|1.00
https://images.ygoprodeck.com/images/cards/2530830.jpg|Galaxy-Eyes Cipher Blade Dragon|1.50%|1.00
https://images.ygoprodeck.com/images/cards/74822425.jpg|El Shaddoll Shekhinaga|1.50%|1.00
https://images.ygoprodeck.com/images/cards/50907446.jpg|El Shaddoll Apkallone|1.50%|1.00
https://images.ygoprodeck.com/images/cards/8728498.jpg|Donner, Dagger Fur Hire|1.50%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|1.50%|1.00
https://images.ygoprodeck.com/images/cards/63410069.jpg|Desert Locusts|1.50%|1.00
https://images.ygoprodeck.com/images/cards/38495396.jpg|Constellar Ptolemy M7|1.50%|1.00
https://images.ygoprodeck.com/images/cards/84815190.jpg|Baronne de Fleur|1.50%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|1.50%|1.00
https://images.ygoprodeck.com/images/cards/21044178.jpg|Abyss Dweller|1.50%|1.00
