image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/86852702.jpg|Machina Redeployment|100.00%|3.00
https://images.ygoprodeck.com/images/cards/42940404.jpg|Machina Gearframe|100.00%|3.00
https://images.ygoprodeck.com/images/cards/35645105.jpg|Infinitrack Harvester|100.00%|2.22
https://images.ygoprodeck.com/images/cards/10604644.jpg|"Therion ""King"" Regulus"|100.00%|2.00
https://images.ygoprodeck.com/images/cards/61912252.jpg|Infinitrack Trencher|100.00%|1.33
https://images.ygoprodeck.com/images/cards/13647631.jpg|Heavy Freight Train Derricrane|100.00%|1.33
https://images.ygoprodeck.com/images/cards/45674286.jpg|Machina Unclaspare|100.00%|1.11
https://images.ygoprodeck.com/images/cards/5556499.jpg|Machina Fortress|100.00%|1.11
https://images.ygoprodeck.com/images/cards/52481437.jpg|Super Express Bullet Train|100.00%|1.00
https://images.ygoprodeck.com/images/cards/87074380.jpg|Machina Citadel|100.00%|1.00
https://images.ygoprodeck.com/images/cards/97316367.jpg|Infinitrack Tunneller|100.00%|1.00
https://images.ygoprodeck.com/images/cards/76830505.jpg|Infinitrack Brutal Dozer|100.00%|1.00
https://images.ygoprodeck.com/images/cards/60953949.jpg|Ancient Gear Box|100.00%|1.00
https://images.ygoprodeck.com/images/cards/34721681.jpg|Heavy Forward|88.90%|2.62
https://images.ygoprodeck.com/images/cards/25274141.jpg|Urgent Schedule|88.90%|2.50
https://images.ygoprodeck.com/images/cards/46033517.jpg|Machina Ruinforce|88.90%|1.00
https://images.ygoprodeck.com/images/cards/59741415.jpg|Machina Overdrive|88.90%|1.00
https://images.ygoprodeck.com/images/cards/36745317.jpg|Vernusylph of the Awakening Forests|66.70%|1.33
https://images.ygoprodeck.com/images/cards/69838761.jpg|Machina Metalcruncher|66.70%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|55.60%|3.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|55.60%|2.60
https://images.ygoprodeck.com/images/cards/9350312.jpg|Vernusylph of the Flourishing Hills|55.60%|2.20
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|55.60%|1.80
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|55.60%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|44.40%|3.00
https://images.ygoprodeck.com/images/cards/62034800.jpg|Infinitrack Anchor Drill|44.40%|1.00
https://images.ygoprodeck.com/images/cards/81519836.jpg|Vernusylph of the Misting Seedlings|33.30%|3.00
https://images.ygoprodeck.com/images/cards/9238125.jpg|Vernusylph of the Thawing Mountains|33.30%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|22.20%|3.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|22.20%|3.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|22.20%|1.50
https://images.ygoprodeck.com/images/cards/84792926.jpg|Therion Discolosseum|22.20%|1.50
https://images.ygoprodeck.com/images/cards/88875132.jpg|Flying Pegasus Railroad Stampede|22.20%|1.50
https://images.ygoprodeck.com/images/cards/4334811.jpg|Scrap Recycler|22.20%|1.00
https://images.ygoprodeck.com/images/cards/51916853.jpg|Magical Hound|22.20%|1.00
https://images.ygoprodeck.com/images/cards/5205146.jpg|Infinitrack Road Roller|22.20%|1.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|11.10%|3.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|11.10%|2.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|11.10%|2.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|11.10%|2.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|11.10%|2.00
https://images.ygoprodeck.com/images/cards/62133026.jpg|Vernusylph of the Flowering Fields|11.10%|1.00
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|11.10%|1.00
https://images.ygoprodeck.com/images/cards/76136345.jpg|Revolving Switchyard|11.10%|1.00
https://images.ygoprodeck.com/images/cards/29726552.jpg|Kumongous, the Sticky String Kaiju|11.10%|1.00
https://images.ygoprodeck.com/images/cards/63941210.jpg|Jizukiru, the Star Destroying Kaiju|11.10%|1.00
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|11.10%|1.00
