image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/17266660.jpg|Herald of Orange Light|100.00%|2.12
https://images.ygoprodeck.com/images/cards/64881644.jpg|Refrain the Melodious Songstress|87.50%|3.00
https://images.ygoprodeck.com/images/cards/9113513.jpg|Ostinato|87.50%|3.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|87.50%|3.00
https://images.ygoprodeck.com/images/cards/90276649.jpg|Couplet the Melodious Songstress|87.50%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|87.50%|3.00
https://images.ygoprodeck.com/images/cards/44256816.jpg|1st Movement Solo|87.50%|2.86
https://images.ygoprodeck.com/images/cards/62895219.jpg|Soprano the Melodious Songstress|87.50%|2.14
https://images.ygoprodeck.com/images/cards/76990617.jpg|Sonata the Melodious Diva|87.50%|2.14
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|87.50%|1.57
https://images.ygoprodeck.com/images/cards/31458630.jpg|Melodious Concerto|87.50%|1.43
https://images.ygoprodeck.com/images/cards/5908650.jpg|Shopina the Melodious Maestra|87.50%|1.00
https://images.ygoprodeck.com/images/cards/40502912.jpg|Aria the Melodious Diva|87.50%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|75.00%|1.17
https://images.ygoprodeck.com/images/cards/16021142.jpg|Canon the Melodious Diva|75.00%|1.00
https://images.ygoprodeck.com/images/cards/97045737.jpg|Dominus Purge|62.50%|2.60
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|50.00%|2.25
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|50.00%|1.75
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|50.00%|1.50
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|37.50%|2.67
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|25.00%|2.50
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|25.00%|1.50
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|25.00%|1.00
https://images.ygoprodeck.com/images/cards/79514956.jpg|Elegy the Melodious Diva|25.00%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|25.00%|1.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|12.50%|3.00
https://images.ygoprodeck.com/images/cards/67234805.jpg|Powersink Stone|12.50%|3.00
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|12.50%|3.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|12.50%|3.00
https://images.ygoprodeck.com/images/cards/94187078.jpg|Drytron Nova|12.50%|3.00
https://images.ygoprodeck.com/images/cards/97148796.jpg|Drytron Alpha Thuban|12.50%|3.00
https://images.ygoprodeck.com/images/cards/60600126.jpg|Cyber Emergency|12.50%|3.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|12.50%|2.00
https://images.ygoprodeck.com/images/cards/96026108.jpg|Drytron Zeta Aldhibah|12.50%|2.00
https://images.ygoprodeck.com/images/cards/22435424.jpg|Drytron Nu II|12.50%|2.00
https://images.ygoprodeck.com/images/cards/22420202.jpg|Drytron Delta Altais|12.50%|2.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|12.50%|2.00
https://images.ygoprodeck.com/images/cards/77235086.jpg|Cyber Angel Benten|12.50%|2.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|12.50%|2.00
https://images.ygoprodeck.com/images/cards/14959144.jpg|Ultimate Bright Knight Ursatron Alpha|12.50%|1.00
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|12.50%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|12.50%|1.00
https://images.ygoprodeck.com/images/cards/22398665.jpg|Meteonis Drytron|12.50%|1.00
https://images.ygoprodeck.com/images/cards/21074344.jpg|Herald of Green Light|12.50%|1.00
https://images.ygoprodeck.com/images/cards/53334471.jpg|Gozen Match|12.50%|1.00
https://images.ygoprodeck.com/images/cards/81439174.jpg|Foolish Burial|12.50%|1.00
https://images.ygoprodeck.com/images/cards/40177746.jpg|Eva|12.50%|1.00
https://images.ygoprodeck.com/images/cards/69815951.jpg|Drytron Meteonis Draconids|12.50%|1.00
https://images.ygoprodeck.com/images/cards/56863746.jpg|Drytron Meteonis DA Draconids|12.50%|1.00
https://images.ygoprodeck.com/images/cards/60037599.jpg|Drytron Gamma Eltanin|12.50%|1.00
https://images.ygoprodeck.com/images/cards/58793369.jpg|Drytron Fafnir|12.50%|1.00
https://images.ygoprodeck.com/images/cards/33543890.jpg|Drytron Beta Rastaban|12.50%|1.00
https://images.ygoprodeck.com/images/cards/92919429.jpg|Diviner of the Herald|12.50%|1.00
