image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/28168628.jpg|Rock of the Vanquisher|100.00%|2.13
https://images.ygoprodeck.com/images/cards/27420823.jpg|"K9 - 17 ""Ripper"""|93.30%|1.07
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|93.30%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|86.70%|1.00
https://images.ygoprodeck.com/images/cards/34876719.jpg|N.As.H. Knight|86.70%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|86.70%|1.00
https://images.ygoprodeck.com/images/cards/61374414.jpg|CXyz N.As.Ch. Knight|80.00%|1.00
https://images.ygoprodeck.com/images/cards/77894049.jpg|Vanquish Soul Rocks|73.30%|1.00
https://images.ygoprodeck.com/images/cards/90303227.jpg|"K9 - EX ""Werewolf"""|66.70%|1.00
https://images.ygoprodeck.com/images/cards/54919528.jpg|"K9 - ØØ ""Hound"""|66.70%|1.00
https://images.ygoprodeck.com/images/cards/68396121.jpg|Number C107: Neo Galaxy-Eyes Tachyon Dragon|60.00%|1.00
https://images.ygoprodeck.com/images/cards/40673853.jpg|Vallon, the Psychic Skyblaster|60.00%|1.00
https://images.ygoprodeck.com/images/cards/12744567.jpg|Number C101: Silent Honor DARK|40.00%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|33.30%|1.00
https://images.ygoprodeck.com/images/cards/48739166.jpg|Number 101: Silent Honor ARK|33.30%|1.00
https://images.ygoprodeck.com/images/cards/35772782.jpg|Number 67: Pair-a-Dice Smasher|26.70%|1.00
https://images.ygoprodeck.com/images/cards/62111090.jpg|Earth Golem @Ignister|20.00%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|20.00%|1.00
https://images.ygoprodeck.com/images/cards/24842059.jpg|Linguriboh|20.00%|1.00
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|20.00%|1.00
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|20.00%|1.00
https://images.ygoprodeck.com/images/cards/69840739.jpg|Artifact Durendal|13.30%|1.00
https://images.ygoprodeck.com/images/cards/2609443.jpg|Chronomaly Vimana|13.30%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|13.30%|1.00
https://images.ygoprodeck.com/images/cards/2061963.jpg|Number 104: Masquerade|13.30%|1.00
https://images.ygoprodeck.com/images/cards/90590303.jpg|Number 41: Bagooska the Terribly Tired Tapir|13.30%|1.00
https://images.ygoprodeck.com/images/cards/49456901.jpg|Number C104: Umbral Horror Masquerade|13.30%|1.00
https://images.ygoprodeck.com/images/cards/89851827.jpg|Sacramentum Dragoon|13.30%|1.00
https://images.ygoprodeck.com/images/cards/49202162.jpg|Black Luster Soldier - Soldier of Chaos|6.70%|1.00
https://images.ygoprodeck.com/images/cards/11443677.jpg|Blue-Eyes Tyrant Dragon|6.70%|1.00
https://images.ygoprodeck.com/images/cards/1482001.jpg|Clara & Rushka, the Ventriloduo|6.70%|1.00
https://images.ygoprodeck.com/images/cards/46593546.jpg|D/D/D Deviser King Deus Machinex|6.70%|1.00
https://images.ygoprodeck.com/images/cards/71612253.jpg|D/D/D Marksman King Tell|6.70%|1.00
https://images.ygoprodeck.com/images/cards/78144171.jpg|Dark Armed, the Dragon of Annihilation|6.70%|1.00
https://images.ygoprodeck.com/images/cards/33760966.jpg|Dragon Tail Altharion|6.70%|1.00
https://images.ygoprodeck.com/images/cards/79755671.jpg|Dragon Tail Gramel|6.70%|1.00
https://images.ygoprodeck.com/images/cards/46772449.jpg|Evilswarm Exciton Knight|6.70%|1.00
https://images.ygoprodeck.com/images/cards/2772337.jpg|Promethean Princess, Bestower of Flames|6.70%|1.00
https://images.ygoprodeck.com/images/cards/57134592.jpg|Salamangreat Raging Phoenix|6.70%|1.00
https://images.ygoprodeck.com/images/cards/74997493.jpg|Saryuja Skull Dread|6.70%|1.00
https://images.ygoprodeck.com/images/cards/57282724.jpg|World Gears of Theurlogical Demiurgy|6.70%|1.00
https://images.ygoprodeck.com/images/cards/45112597.jpg|Worldsea Dragon Zealantis|6.70%|1.00
https://images.ygoprodeck.com/images/cards/48905153.jpg|Zoodiac Drident|6.70%|1.00
