image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/25807544.jpg|Noble Arms Museum|100.00%|3.00
https://images.ygoprodeck.com/images/cards/51412776.jpg|Heritage of the Chalice|100.00%|3.00
https://images.ygoprodeck.com/images/cards/1047075.jpg|Fighting Flame Swordsman|100.00%|3.00
https://images.ygoprodeck.com/images/cards/35697544.jpg|Fighting Flame Sword|100.00%|3.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|100.00%|3.00
https://images.ygoprodeck.com/images/cards/96363153.jpg|Tuning|100.00%|2.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|100.00%|2.00
https://images.ygoprodeck.com/images/cards/9742784.jpg|Jet Synchron|100.00%|2.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|2.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|100.00%|1.00
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|100.00%|1.00
https://images.ygoprodeck.com/images/cards/37531679.jpg|Salamandra, the Flying Flame Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/62091148.jpg|Salamandra with Chain|100.00%|1.00
https://images.ygoprodeck.com/images/cards/32807846.jpg|Reinforcement of the Army|100.00%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|100.00%|1.00
https://images.ygoprodeck.com/images/cards/89023486.jpg|Original Sinful Spoils - Snake-Eye|100.00%|1.00
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|100.00%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|100.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|100.00%|1.00
https://images.ygoprodeck.com/images/cards/89809665.jpg|Infernoble Knight Turpin|100.00%|1.00
https://images.ygoprodeck.com/images/cards/53404966.jpg|Infernoble Knight Ricciardetto|100.00%|1.00
https://images.ygoprodeck.com/images/cards/58346901.jpg|Infernoble Knight Oliver|100.00%|1.00
https://images.ygoprodeck.com/images/cards/21351206.jpg|Infernoble Knight Ogier|100.00%|1.00
https://images.ygoprodeck.com/images/cards/94730900.jpg|Infernoble Knight Maugis|100.00%|1.00
https://images.ygoprodeck.com/images/cards/81570454.jpg|Infernoble Knight - Roland|100.00%|1.00
https://images.ygoprodeck.com/images/cards/56824871.jpg|Infernoble Knight - Renaud|100.00%|1.00
https://images.ygoprodeck.com/images/cards/22091647.jpg|Immortal Phoenix Gearfried|100.00%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|100.00%|1.00
https://images.ygoprodeck.com/images/cards/81439174.jpg|Foolish Burial|100.00%|1.00
https://images.ygoprodeck.com/images/cards/73714736.jpg|Flame Swordsrealm|100.00%|1.00
https://images.ygoprodeck.com/images/cards/8080257.jpg|Flame Swordsdance|100.00%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|100.00%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|100.00%|1.00
https://images.ygoprodeck.com/images/cards/40678060.jpg|Angelica's Angelic Ring|100.00%|1.00
https://images.ygoprodeck.com/images/cards/90861137.jpg|"""Infernoble Arms - Joyeuse"""|100.00%|1.00
https://images.ygoprodeck.com/images/cards/37478723.jpg|"""Infernoble Arms - Durendal"""|100.00%|1.00
https://images.ygoprodeck.com/images/cards/98319530.jpg|"""Infernoble Arms - Almace"""|100.00%|1.00
