Kashtira|311
Purrely|83
Ritual Beast|52
Rescue-ACE|47
Floowandereeze|46
Unchained|43
Mathmech|20
Marincess|18
Manadome|17
Tenyi|12
Branded|12
Edge Imp|11
Swordsoul|8
Noble Knight|8
Rikka|8
Exosister|6
Spright|5
P.U.N.K.|5
Runick|4
Salamangreat|4
Ninja|3
Centur-Ion|3
Maliss|3
Vanquish Soul|2
Sky Striker|2
Memento|2
Blackwing|2
Plunder Patroll|2
Traptrix|2
D.D.|1
Subterror|1
Phantom Knights|1
Destiny HERO|1
PSY-Frame|1
Virtual World|1
Melffy|1
Mannadium|1
Rokket|1
Horus|1
Gimmick Puppet|1
Fire King|1
Scareclaw|1
Melodious|1
Fiendsmith|1
