Kashtira|312
Purrely|83
Ritual Beast|53
Rescue-ACE|47
Floowandereeze|46
Unchained|43
Ryzeal|38
Mathmech|20
Marincess|18
Manadome|17
Maliss|12
Tenyi|12
Branded|12
Edge Imp|11
Swordsoul|8
Noble Knight|8
Rikka|8
Exosister|6
Memento|5
Spright|5
P.U.N.K.|5
Runick|4
Salamangreat|4
Ninja|3
Centur-Ion|3
Plunder Patroll|2
Blackwing|2
Vanquish Soul|2
Sky Striker|2
Traptrix|2
Mannadium|1
Subterror|1
Rokket|1
Virtual World|1
PSY-Frame|1
Melffy|1
D.D.|1
Fire King|1
Horus|1
Scareclaw|1
Melodious|1
Gimmick Puppet|1
Fiendsmith|1
Destiny HERO|1
Phantom Knights|1
