Snake-Eye|229
Tearlaments|129
Mannadium|80
Vanquish Soul|73
Rescue-ACE|53
Purrely|52
Centur-Ion|28
Fiendsmith|25
Voiceless Voice|25
Fire King|25
Unchained|24
Labrynth|23
Yubel|21
Scareclaw|19
Tenpai Dragon|17
Branded|15
Manadome|12
Maliss|10
Noble Knight|10
Book of|9
Spright|7
Crystron|6
Adventurer Token|5
Horus|5
Edge Imp|5
Mimighoul|5
Bystial|5
Salamangreat|4
P.U.N.K.|4
Plunder Patroll|3
Traptrix|3
Runick|3
Superheavy Samurai|2
SPYRAL|2
Ryzeal|2
Forbidden|2
Mikanko|2
Regenesis|2
White Forest|2
Virtual World|2
Lunalight|1
Tellarknight|1
D.D.|1
Umi|1
Scrap|1
Shaddoll|1
Goblin|1
Dogmatika|1
Vaalmonica|1
Raidraptor|1
Rokket|1
Roid|1
Mathmech|1
Mekk-Knight|1
